Restaurant,Month,Week No.,Day,Date,Review Title/URL,Review,Rating Score,Rating,Responded?,"Response 
Date","Days between 
response"
Bread Street Kitchen,February,Week 6,Tuesday,2/2/2016,"""Pretty good""","The prices were reasonable considering location and brand. Service was good and they were accommodating of a stroller and such. Cant really complain about anything, which is a good sign I suppose.",4-May,Very Good,Yes,3/2/2016,1
Bread Street Kitchen,February,Week 6,Tuesday,2/2/2016,"""Spicy Tuna a must""","Had lunch here midweek and was delighted with the food. All of us had fish in various forms with the absolute stand out being the (gorgeous) spicy tuna. This is a must have as a starter. Highly recommend the fish and chips also. Difficult to fault as a restaurant except the location, Marina Bay is not a favorite or mine. Notwithstanding that I highly recommend on both quality and price.",4-May,Very Good,Yes,6/2/2016,4
Osteria Mozza,February,Week 6,Tuesday,2/2/2016,"""Tasty Italian, good service""","Comfortable atmosphere, good service, tasty food. The prices were fair, given the location in an upper end shopping location. The pizzas are tasty, and on the large size for one person.",4-May,Very Good,No,,
Sky on 57,February,Week 6,Tuesday,2/2/2016,"""High tea on top of the world""","During my father's last week in Singapore, I brought him there for a high-tea. My dad said that it was the most awesome overlooking view he has ever seen. A perfect picture of sunny Singapore. The staff are most friendly and welcoming. We came early and was offered to have drinks first in the lounge while waiting for our high-tea. We ordered drinks and we were offered nuts while we just chilled with a magazine a magazine amidst the stunning view. Our high-tea came and it was superb!! Best high-tea! It was filling and enough for 2 persons. If you have a sweet tooth all the more you will love it! Will definitely bring my husband there next time",5-May,Excellent,No,,
Sky on 57,February,Week 6,Tuesday,2/2/2016,"""Excellent service, atmosphere and food""",The atmosphere is very good which surround by the nice view of Singapore. We enjoyed the view while having our pre-dinner reception. The quality of food is excellent which including the presentation and the taste. The service crew is well trained and they did do a great job while we having our dinner day.,5-May,Excellent,No,,
Spago,February,Week 6,Tuesday,2/2/2016,"""Excellent food with decor to match""","Firstly, start with the tuna tartare cones. And don't share them, you'll want more than one (or two). Prices are as expected at an MBS celebrity restaurant, but you don't need to go for the most expensive steak for an experience. The $86++ black Angus sirloin was delectable, and pair with the child fingerling potatoes for a complete meal. Finish it off with the salted caramel apple soufflÇ and you won't care when you see the bill.",5-May,Excellent,No,,
Spago,February,Week 6,Tuesday,2/2/2016,"""Light dinner""","It is a very breezy and cozy place despite the lack of space to walk. The spicy tuna and scallop roll sushi is really delicious! There are pool view seats and sea view seats as well. Look for Nayda, she is a very polite and friendly waitress all the way from Russia !",4-May,Very Good,No,,
db Bistro & Oyster Bar,February,Week 6,Wednesday,3/2/2016,"""Just Ordinary ""","The food wasn't as we expected in the class like DB. The Cesar salad was too salty, the prawn on the plater a bit over cooked but the steak was perfectly cooked. Nothing special.",3-May,Average,No,,
RISE,February,Week 6,Wednesday,3/2/2016,"""Super Buffet mit gro·er Auswahl""","I can enjoy the Christmas buffet. A huge variety of food. Everything looked very fresh and tasty. The highlights are the fresh sushi and lobster risotto, which is freshly prepared.",5-May,Excellent,No,,
Sky on 57,February,Week 6,Wednesday,3/2/2016,"""Dissapointed with waitress service""","I went to eat here twice during my stay in singapore, both are for dinner. Food is excellent, top notch!! Ambience is beautiful too. I just want complain about one of the waiter's attitude. We were sitting outside and wanted to go out to take pictures. He told me to settled bill first. It just unacceptable attitude for this kind of eatablishment. As if we were gonna runaway.... Speechless. Wont comeback again. Better spend my money somewhere else.",2-May,Poor,No,,
Sky on 57,February,Week 6,Wednesday,3/2/2016,"""Super FrÅhstÅcksrestaurant""","If you stay at Marina Bay Sands, you have to go for breakfast here. Super buffet and a la carte orders. The view is also great.",5-May,Excellent,No,,
Spago,February,Week 6,Wednesday,3/2/2016,"""Viel Schein und nichts dahinter""",From the outside the Spago makes to 200m at Marina Bay Sands a great impression. At the reservation it will be quite difficult. Snooty hostesses who judge a first for the clothing. The food is relatively tasteless. Here one would expect taste explosions.,2-May,Poor,No,,
CUT,February,Week 6,Thursday,4/2/2016,"""Amazing dinner ""","Thank you so much Nok, Michael,Nickson and Sam excellent service and the sirloin is perfect definitely will be back again ..Vivian and Ming",5-May,Excellent,No,,
Osteria Mozza,February,Week 6,Thursday,4/2/2016,"""JUST FANTASTIC""","My wife and I ate at the Osteria Mozza in January and quite frankly I cannot recommend it highly enough. We did not have a reservation, and even though it was packed, with a minimum of fuss they found us a table. The service was impeccable, attentive but not pushy. Very knowledgable staff provided helpful advice on both the food and the wine. When the food arrived it was beautifully presented and absolutely delicious. My wife and I are well travelled and real foodies and this was a real treat. I always end my reviews advising on whether I would recommend the venue. On this occasion, I cannot recommend the Osteria Mozza highly enough. This is top of our list for when we are next in Singapore. Just fab. Enjoy. Prof Lester Lloyd-Reason Cambridge, UK",5-May,Excellent,No,,
Pizzeria Mozza,February,Week 6,Thursday,4/2/2016,"""Pizza ist ok, sehr laut""","We were in the Pizzeria Mozza because that was recommended to us. We love to eat pizza and I would argue that we know very well what makes really good pizza. The pizza is not bad (do not forget you're in Singapore and not in Naples). I had the pizza with prosciutto and arugula pizza was a little oily. What is a real plus, which is baked pizza on a stone in the oven. Prices are ok for Singapore. It is very noisy in the restaurant.",3-May,Average,No,,
Pizzeria Mozza,February,Week 6,Thursday,4/2/2016,"""Nice environment and serive""",I went restaurant for may birthday the pizza we ordered was Delicious and fast service. and it was quite bigger than I expected. But I think if they serve the pickle with pizza it would be better :) I would like to visit again anyway,4-May,Very Good,No,,
RISE,February,Week 6,Thursday,4/2/2016,"""???buffet""","Marina Bay is just more determined to sell 57-floor infinity pool landscape. Better service, table moving line design is very fragmented; food items items seem like a lot, but in fact no one can eat several fluently you'll feel. Well meat to dry and firewood, jam and cream tastes too pop. Select the type of juice less, some even eggs nor 3,5,7, fully cooked eggs can be selected. The hotel has rank, should be 3 and a half stars for breakfast only. disappointing.",2-May,Poor,No,,
Sky on 57,February,Week 6,Thursday,4/2/2016,"""Wahnsinn-tolle Aussicht""","The location is absolutely unique and has a breathtaking view of Singapore. Without reservation we got a table on the terrace. Since we had only ordered drinks, one can say anything about the kitchen. It was definitely worth a visit.",5-May,Excellent,No,,
Sky on 57,February,Week 6,Thursday,4/2/2016,"""Breathtaking views!""",This is a great restaurant with great views....on 57th floor of marina bay sands...you need to experience it at least once!,5-May,Excellent,No,,
Sky on 57,February,Week 6,Thursday,4/2/2016,"""Kulinarisches Highlight ""","Both for breakfast, as well as for dinner a highlight! The view is breathtaking and the food amazing delicious! Rarely eaten so delicious.",5-May,Excellent,No,,
CUT,February,Week 6,Friday,5/2/2016,"""Sehr gut und sehr teuer!""","The steaks were the best we've ever had! The side dishes were also a dream! The atmosphere is very stylish, but very noisy. Normally there should be the full points for the very good food, but: I had a small glass of iced tea (nothing special, simple tea !!), which is genuine but outrageously expensive at 16 dollars! The steaks you get from $ 90 - which is expensive, but well adapted for the quality. Attachments beat each having 18 dollars on the bill. All in all we have for 2 steaks, 3 side dishes, 1 x sauce, 2 cola and a small iced $ 325 paid. Before the food arrived different breads were us (all fresh and homemade!) Offered - delicious! Despite the prices, we would come to a special opportunity.",4-May,Very Good,No,,
CUT,February,Week 6,Friday,5/2/2016,"""Average""","The food is okay, American style meat, potatoes cooked reasonably well. Service is well intentioned but inept.",3-May,Average,No,,
db Bistro & Oyster Bar,February,Week 6,Friday,5/2/2016,"""Welcome dinner""","We had dinner here to welcome a friend to Singapore. We can say she's had a great welcome with the delicious duck confit, and alright service (they were understandably too busy though). Oysters were pretty good",4-May,Very Good,No,,
Sky on 57,February,Week 6,Friday,5/2/2016,"""Friendly staff, excellent service, good food and great views""","Sky on 57 is on the 57th floor of Tower one of Marina Bay Sands. It?s a glass covered restaurant which provides an unforgettable panoramic view of the skyline. There is also outside seating, which commands a better view. They have a terrace bar called Flight Bar which is open only from 6.00pm. We didn?t have a booking and reached late too for lunch. Lunch is served up to 2.30pm. Hence, we had to settle down for some beer and bar bites. Though the restaurant was full, he hotel staff were very attentive to notice us and receive us. We were promptly taken to a table outside with an excellent view of the Supertrees. Gardens by the Bay, Supertrees and the two domes are nearby and looks stunning from the heights. We went all around the restaurant to see the views from all sides and being tourists we took photos in every possible direction. We could also see the majestic view of the infinity pool located in Marina Bay Sands Hotel. Sky on 57 offers Franco Asian cuisine by Celebrity Chef Justin Quek. As lunch service was not available, we settled for some French Oysters, Oriental Sliders, which was spiced pork & prawn patty in soft bun and Vegetable Crudites, which was miso and spicy peanut dips. Even after lunch time, guests kept on coming and we found the staff to be very attentive. Service was outstanding with some very friendly staff. While we were walking around the tower, one staff was so courteous to come and explain about the hotel, restaurant and the views around. Needless to say that we had a great time at the Sky on 57. Friendly staff, excellent service, good food and great views makes this a must visit.",5-May,Excellent,No,,
Sky on 57,February,Week 6,Friday,5/2/2016,"""Surprisingly good!""","I'm usually not a fan of ""view"" restaurants as I feel you often pay a premium for the location way beyond what you would normally pay for a given quality of food. That was not exactly the case at Sky on 57. The food was excellent. Service also strong. Highlights were the Foie Gras xiao long bao , the roast pork was also near perfect.",4-May,Very Good,No,,
Sky on 57,February,Week 6,Friday,5/2/2016,"""Excellent cocktails et magnifique vue !""",We were very well received by the Sky team is 57! The cocktails are delicious and the view is beautiful on the skyline Singap '. Prices are very reasonable for such a view!,5-May,Excellent,No,,
Bread Street Kitchen,February,Week 6,Saturday,6/2/2016,"""Average food at inflated prices""","Headed to BSK for dinner with some friends. I'll never understand the attraction of putting restaurants in shopping centres, but it seems to be the done thing here in Singapore. Attempted to reserve a few weeks out and received emails telling my my reservation was pending, had to chase up the reservation with staff, so not a great start. The restaurant itself is nice- low lighting but enough to read menus, and not too noisy so conversation with friends was not a problem. Cocktails at the bar before dinner were good, with a good selection of spirits beyond the standard stuff. Service was average- polite but not overly friendly and fairly efficient. I had high expectations of the food but was pretty disappointed. It wasn't bad.. It was just a bit on the ordinary side. Standard pub style food at celebrity chef prices. Highlight of the meal was dessert- the chocolate fondant with salted caramel and ice cream was delicious. In short, a nice meal, but overpriced for the quality of the food.",3-May,Average,Yes,8/2/2016,2
Sky on 57,February,Week 6,Saturday,6/2/2016,"""On top of the World""","Feb 4th 2016. Having read a little about the Sky Deck on top of the Marina Bay Sands Hotel We decided to book a table in the restaurant. It was a wonderful experience. Simply put: - location ..... Unique - food ........... Fabulous choices beautifully cooked and presented - service ....... Very friendly and helpful, thanks to Jane and ? - value for money ....... You get exactly what you pay for, so v.good. Would we go again? ........ Yes, once we have saved up!",5-May,Excellent,No,,
Spago,February,Week 6,Saturday,6/2/2016,"""High end and quiet""","Came here on a Saturday afternoon for lunch. Nicely designed and airy looking. It was however almost empty which was strange For lunch, they have a 3 and 4 course and we opted for the latter. First course was a fusion laksa flavored spring roll with chili paid. I neither tasted the laksa nor the chili padi. 2nd course was a better agnolotti. My main of lobster Cobb was interesting - laid out flat on a plate and beautifully arranged in rows by ingredients . Dessert of citrus was very pretty with mandarin oranges that went through liquid nitrogen There's no amuse bouche nor petit fours, maybe they have it for dinner",5-May,Excellent,No,,
Spago,February,Week 6,Saturday,6/2/2016,"""Literalmente nas Alturas! ""","Only in Santorini, Greece thrilled me so much in front of a view! So why this emotion was worth apena. Taking the spectacle of Mulin Rouge in Paris, dinner is at that level. In auturas! Beside it has the bar after dinner really worth being just pass there. Music the Best super environment! Location: In the 57 floor of the hotel ? By Marina Sand. These are things that for many is done once in a lifetime, and if it does, is fantastico!",4-May,Very Good,No,,
Spago,February,Week 6,Saturday,6/2/2016,"""Solo per la vista..""","I went to both the lounge to the restaurant for a drink and a lunch at two different times. The impression was the same: the food is good, however, for an Italian woman not worthy of particular note. pleasant atmosphere, the staff is probably the most friendly and welcoming've met in town. Prices are in line with the context - high. I recommend it for a pranzetto with a good club sandwich without getting fleeced brutally ... What is certain is that the location plays a key role in the usability of this place!",3-May,Average,No,,
db Bistro & Oyster Bar,February,Week 6,Sunday,7/2/2016,"""Not bad, but not worth a return""","Ate here while at the casino. The food wasn't bad, but it certainly was not exceptional. Having been to most of the restaurants there, it seems Puck's is the best of the celebrity chefs. Marios is not bad and like all Ramsay restaurants, give yourself an upgrade and find a McDonald's.",3-May,Average,No,,
Sky on 57,February,Week 6,Sunday,7/2/2016,"""Tolle Aussicht und ein echt guter Singapur Sling""","We were there to drink, as it has just poured. The view that can be enjoyed from there is magnificent. The food we could not judge, but the Singapore Sling we had enjoyed great - (loud barman made a little different) - us it tasted better than in the Long Bar in Raffles Hotel - and he was also cheaper - thus recommended , The staff was also very friendly.",4-May,Very Good,No,,
Spago,February,Week 6,Sunday,7/2/2016,"""Lite dinner and drinks""","Here for just one night, I came up for a lite snack and a drink or two. Sitting at the bar, the staff was very friendly and kept to all my wishes. I had the spicy tuna roll, and it was very good. Also, one Long Island ice tea, followed by a stoly martini. Nice atmosphere, good service. Thank you.",4-May,Very Good,No,,
Bread Street Kitchen,February,Week 7,Monday,8/2/2016,"""Casual dining at it's best""","Because my husband and I are not overly romantic, a casual dining where we enjoy a good meal is one of our best celebrations. The steak was huge but it was pricey for $60, worth it though. The pork belly was the best, crunchy and baked to perfection. Will definitely come back here with the kids. We spent $290 for 2 persons.",5-May,Excellent,Yes,9/2/2016,1
Bread Street Kitchen,February,Week 7,Monday,8/2/2016,"""Great place for a celebration ""","Celebrated my husband's birthday here. Service was friendly and attentive. Nice moist warm bread to start things off and the cured meat was an excellent appetizer. We had the traditional fish and chips and the Irish angus grass fed ribeye steak for mains. Fish was a little dry, just like the beef (which we ordered in medium), but overall was still tasty and enjoyable. Desserts were excellent; the monkey shoulder cheesecake (which came with a complimentary candle and birthday song from the staff) and chocolate fondant. I guess we started well and ended well. :) On a side note, though the prices are a tad more expensive (we spent around $180 for two), this is more than made up for by the complimentary bread, little touches like the ketchup in a jar from wilkin & sons, and attentive service. Will be going to London in Aug, perhaps will pay a visit to the branch there to see if there's a difference.",4-May,Very Good,Yes,11/2/2016,3
CUT,February,Week 7,Monday,8/2/2016,"""Expensive but very good""",I was there with my wife and another couple and all four of us enjoyed a lot. Food is very high quality and atmosphere is very good. We use to go to a lot of restaurants and this could rate very highly in our list. Highly recommended if you are looking for a high quality experience.,5-May,Excellent,No,,
CUT,February,Week 7,Monday,8/2/2016,"""Great Dining Experience!""","Lovely dinner today. Ordered the crab louis and japanese steak. All the good reviews that I have read about this restaurant are true. The friendliness of the staff seems genuine. I have never seen such good customer service as I experienced, a very good experience! Thank you to Irlan and Steven who was very polite and responsive.",5-May,Excellent,No,,
CUT,February,Week 7,Monday,8/2/2016,"""really very good""","Excellent professional and friendly service (never in a restaurant with so many staff!) Food was of extremely high quality - steak superb, lobster superb. Location is in the middle of a mall but kitted out very well. Only gripe is that it is very expensive i.e. three smallish bottles of water came to SGD 42! However for the best steakhouse I have been in it was worth it",5-May,Excellent,No,,
CUT,February,Week 7,Monday,8/2/2016,"""Great food and service""","Was there for Friend's birthday. Ordered Prawn Cocktail with wasabi sauce, Rib Eye Steak, Onion Ring and Brocolli. Steak was greatly cooked. Dinner closed with Apple Crumble with roasted almond and vanilla ice cream. Overall, the service by Marilou, Angeline and Steven was excellent. Will come back for another birthday dinner.",4-May,Very Good,No,,
Pizzeria Mozza,February,Week 7,Monday,8/2/2016,"""Even the water tastes great here!""","Mmmmmmm! Really different. Very exquisite. You get the kick in every bite, from mouth watering starters to amazingly crispy pizzas to heavenly Tiramisus!!! I'd live there if I can. Chef Mario Batali, you are from a different planet!",5-May,Excellent,No,,
RISE,February,Week 7,Monday,8/2/2016,"""Wide Selection, Good Food""","If you have to compare the buffet spread here compared to other 5 star hotels, it is probably up there with the very best. You get to choose from local delights like chilli crab and prawn noodles, indian naan and curries, chinese sauteed beef or mixed veg tofu, western roast meats and girlled veg as well as japanese soba and sushi. You'll be spoilt for choice so do go on an empty stomach. The salad, bread and cheese selection offers loads of options so go easy on them else you'll have no space for the main courses. One of my favourite part of any buffet is the dessert counter. There're many mouth watering cakes and local sweets to tantalise your taste buds with. The chocolate fondue is a favourite with the kids but probably there's a kid in everyone of us as well. ?? If you are staying at marina bay sands on a short vacation or business trip and don't really have the time to explore the Singapore's rich culinary culture, Rise offers a good sampling of asian and western cuisines. Definitely not one to miss.",4-May,Very Good,No,,
Sky on 57,February,Week 7,Monday,8/2/2016,"""Absolutes super Highlight. Es ist ein MUSS in Singapur.""",We were with a group of tourists. Everything has worked with the reservation. The food was exceptionally good and even a menu card was at each place. On nouvelle cuisine the whole meal was constructed. We ate indoors and air conditioned. The view over the city is phenomenal. One can out run to the terrace. The 57th floor is actually very open.,4-May,Very Good,No,,
Spago,February,Week 7,Monday,8/2/2016,"""Great bar with fantastic view""",A trip up to Marina Bay sands is mandatory for any traveller however be prepared to pay for it. I sat at the bar and had a lovely time with the bar tenders. They were great and very helpful. I did by an entry level champagne which started at $188. This was a bit of a shock but I guess to be expected when you have such a fantastic view. I recommend going here on a date with your significant other and sip champagne whilst gazing out at Singapore.,4-May,Very Good,No,,
Bread Street Kitchen,February,Week 7,Tuesday,9/2/2016,"""Masterclass for Singapore in Service""","Came here during the first few weeks of opening and we had a wonderful meal, great views of the marina and even the SG50 fireworks, we were impressed by the food, service and ambience. Came back in February (left it too long) and the service has really stepped up a gear, so many attentive staff, all with very specific roles, as you'd expect from a rising one star place. There's definite potential and I really hope that the 'Guide Michelin' inspectors have been. The added touches of being directed/part escorted in direction of the bathroom etc. Wine list and cocktail list great, especially the 'Love Potion number 9' this time around, being lunch time, we had the set lunch menu and two of our party had Ö la carte, seamless delivery of dishes, bread, top up of bread, free chilled and specially bottled tap water. Never a time where there isn't a member of staff available and none of the usual waving your hands around to call people over as happens so in Singapore! Nor the local trend of sitting with dirty/empty plates in front of you! Great value, great location, helpful, friendly, well-trained staff. I think this is a safe bet for perfect food and service, it's casual and smart at the same time, I love that balance between people on special occasions as well as people having set lunches or people who enjoy fine dining on the bistro style side. Can't wait to come back!",5-May,Excellent,Yes,13/2/2016,4
CUT,February,Week 7,Tuesday,9/2/2016,"""Could be better""","Ok so I got over paying 80 dollars for a steak and the food quality was very good indeed. Problem is if you set 5 star prices I expect 5 star service. Don't serve a migraine sufferer bread and bread sticks without telling them they both contain Parmesan. Please turn the lights up so we can see, please turn down the music so we can hear the waiters. Don't ask if we have finished when my wife is still eating, do tell us what the 5 spices are that you just put on our table and finally, tell us that the fries and onion ring portions are enough for 4 adults. Saying that, the steak was very good the service was not. Overpriced.",2-May,Poor,No,,
CUT,February,Week 7,Tuesday,9/2/2016,"""WP di SIngapura""","My wife and came to this place in the month of december yesterday. The place is luxurious and comfortable. We are already familiar with WP, so do not worry about the taste of food. I try NY sirloin steaks.",3-May,Average,No,,
CUT,February,Week 7,Tuesday,9/2/2016,"""Ottima carne""",After reading many positive comments we went there immediately. My husband and excellent meat lovers we managed very satisfied. Excellent meat. super service. really nice place.,5-May,Excellent,No,,
Pizzeria Mozza,February,Week 7,Tuesday,9/2/2016,"""???? ??""","If you move across the parent's Pizzeria weaving Marina Bay Sands Marina Bay and linked to location-mail mall location was good, I ate both pasta blood taste Well I'm proud bissange some prices",4-May,Very Good,No,,
Pizzeria Mozza,February,Week 7,Tuesday,9/2/2016,"""Overpriced starters and dessert""",Pizza is quite nice but skip the overpriced average starters. Dessert is not bad but I don't think 20 dollars for an above average tiramisu is worth it.,3-May,Average,No,,
Pizzeria Mozza,February,Week 7,Tuesday,9/2/2016,"""Not real Italian""","The place is ok , inside a big shopping mall , but don't expect real Italian food, is a kind of mix taste americanized italian with asian influences....I see that most of the people like it , but it will not suit a proper italian dinner for italians",3-May,Average,No,,
Pizzeria Mozza,February,Week 7,Tuesday,9/2/2016,"""Awesome Pizza""",A must visit if you looking for a classic pizza within the mall! We came here after the wall at the Gardens by the bay!,5-May,Excellent,No,,
RISE,February,Week 7,Tuesday,9/2/2016,"CafÇ da manh? completo ""","A cafe with incredible variety. Nothing cheap but worth it when it comes to singapore, can you start the day with a lot of quality",5-May,Excellent,No,,
Sky on 57,February,Week 7,Tuesday,9/2/2016,"""A very cool place, indeed ...""","We made a reservation at Sky on 57 for dinner mainly since its one of the spots to see the surrounding from the top of hte Bay Sands complex - and not because it has been recommended to us. Upon entereing the place we actually first thought about to just have a drink in the lounge close to the bar but then decided to have dinner as planned. This - unfortunately was a big mistake. The food was fine and of good quality. We were told that the actual chef has been trained in France. What was most discomfortable was the extremely ""cool"" atmosphere. Not only the interior design was rather uninspired and did not at all fit such a remarkeable location. What was disturbing most and made us feel extremely uncomfortable was the AC which was way too low. It was the cappucino at the end that was the most warming about our stay at Sky on 57. The worst was to come after that. Just before leaving the place I went to wash my hands in the bathroom. It seems that one of the persons tried to come after me since they mistook me for a tourist that only wanted to use the restaurants premises. Fortunately my wife cought the person and explained to her that we actually also have spent money in the restaurant (and it was quite a lot of money for what we have been served). And our bad experience was not even finished yet. Since we have chosen the place for its location I stepped out on the restaurants terrace to take some pictures of the bay. Since my wife was waiting inside she was again approached - this time by the manager of the place - and told that the terrace in fact is for restaurant guests only! Well at least - the view was spectacular.",3-May,Average,No,,
Sky on 57,February,Week 7,Tuesday,9/2/2016,"""Incredible location and out of this world food!!""",We decided to opt for the Chefs tasting menu on our visit to Sky at 57 and were not disappointed! All nine courses were incredible! The tastes and flavours were simply superb and so well put together. A great fusion of Asian and European tastes. Chef asked us what we didn't like and we left the decision of what to serve us up to him! Would highly recommend doing this. We didn't know what was coming next and this added to the whole enjoyment of the evening. If in Singapore this is a must! If you don't want to eat then go for a drink and take in the stunning Singapore skyline.,5-May,Excellent,No,,
Sky on 57,February,Week 7,Tuesday,9/2/2016,"""Flying High""","This is a great venue, really nice ambiance with fantastic views across the Strait. Enjoyed a Malaysian Mojito here with table snacks. The staff were really welcoming and providing great table service - Even going out of their way to charge my iPhone, which was dying of life :(",5-May,Excellent,No,,
Sky on 57,February,Week 7,Tuesday,9/2/2016,"""???? ?? ???? ??? ?? ??""",Good and not too hot downed none. Plato's Bay and rebeol measures only 33 degrees here also witnessed another good finish here as soon as fireworks,5-May,Excellent,No,,
Spago,February,Week 7,Tuesday,9/2/2016,"""One for the foodies!""",An amazing location from the top of the Marina Bay Sands. The food was top class fine cuisine and absolutely exquisite. The staff were perfect too. A fabulous evening.,5-May,Excellent,No,,
Bread Street Kitchen,February,Week 7,Wednesday,10/2/2016,"""Friendly and attentive service""","Very cheerful and friendly service all round. Great food, especially their excellent bread and generous butter that came with our order of tuna tartare. The sausage roll was very well plated/ presented too. Reasonable prices.",4-May,Very Good,Yes,13/2/2016,3
CUT,February,Week 7,Wednesday,10/2/2016,"""Excellent Steaks; Great Service""","High quality steaks and a superb wine list. As with most high end restaurants in Singapore, it is a bit pricy but you get what you pay for. Located in Marina Bay Sands Shopping Center.",5-May,Excellent,No,,
Osteria Mozza,February,Week 7,Wednesday,10/2/2016,"""Outstanding!!""","Most definitely the culinary highlight of our Singapore trip. We have eaten at Italian restaurants all over the world, and this is without question world-class. My wife had the Ricotta Gnocchi and I had the Agnolotti with Butter and Sage - both excellent. The pasta portions are as expected entree sized. The vanilla pannacotta and the bombolini were wonderful finishes to a great experience. Our waiter was Richard (Riccardo) from the Philippines, who spoke Italian better than I do! His service was superb - polite, friendly and informative. A truly outstanding experience - bravo to Mario Batali and his team at Osteria Mozza Singapore. Tony",5-May,Excellent,No,,
Osteria Mozza,February,Week 7,Wednesday,10/2/2016,"""Restaurante maravilhoso!!""","If you want to eat well, this is the place. Impeccable service with a wonderful kitchen. A little pricey, but definitely worth every penny. I strongly recommend!!",5-May,Excellent,No,,
Sky on 57,February,Week 7,Wednesday,10/2/2016,"""Pobre tambÇm vai!""","I had read in several places on the Marina Bay Sands and the possibility of seeing such infinity pool or have a drink with a wonderful view of the city. I googled the most economical alternative and found that giving to make a little visit but can be up and just watch the view. It has a space only to go and is not crowded. It even has few people and it's free! You can go up and get into the bar for a drink. Go early or make reservations. I ordered a mojito (like a mojito) which cost $ 20. My friends ordered other drinks that cost about the same value. I did not see anything cheaper, inclusive. The drinks were not very good quality, but the experience of a drink, sit there and keep watching worth every penny.",5-May,Excellent,No,,
Spago,February,Week 7,Wednesday,10/2/2016,"""Good food great location but service was lacking quality""","Been here couple of times and the food is good. Pasta dishes are really good and the main courses are big portions. Location of the restaurant is amazing as it is next to the infinity pool at the Marina Bay Sands which overlooks the entire CBD area of Singapore. However service was severely poor during the second visit. My dad asked for a double whisky but the waiter only gave him a single shot. Then the waiter on our table for some reason, maybe he was in a bad mood, couldn't smile or greet us nicely when we sat down. Also he was pouring drinks like we were in a cheap bar cos he was spilling water as he was pouring into the glass. And he kept telling us to move cos he wanted to go around the table, instead of him moving to avoid telling us to move. Overall a good experience but i think Wolfgang himself needs to visit the location and whip the staff into providing better service to customers.",4-May,Very Good,No,,
Bread Street Kitchen,February,Week 7,Thursday,11/2/2016,"""Great service, average food""","Having dined in another British celebrity chefs restaurant several times in Sydney the wife and I were disappointed with the quality of the mains for the price. ( It wasn't bad and if we were dining at the local bowling club/ pub we would have been happy). The location at the Marina Bay Shoppes means the view of the city was fantastic, the waitstaff were excellent and the complimentary breads and butter were delicious. Be aware that to make the main course feel complete you need to order sides as ordering a $38 Pork Belly means that you get 2 strips and some sauce on a plate. The onion rings we had as a side were really good but the fancy little jar of tomato sauce that comes with it I am fairly sure is the same recipe as Heinz Ketchup.",3-May,Average,Yes,13/2/2016,2
db Bistro & Oyster Bar,February,Week 7,Thursday,11/2/2016,"""Big name but...""","I will not talk about Daniel Boulud which is a famous French Chef who made is name in NYC and opened DB Bistro in MBS in 2011... but about my last dinner there. Since they revamp the place, they now offer oysters and seafood platter with a french feel... And the menus relatively simple, few appetizers, small selection of main courses but to my taste, too many burgers.... Yes that's the trend of wanted to be ""American Style"" and because USA is where he made his name, I can understand. First of all the service was good, quick to take your order and kind of attentive, no complain about that, except the fact that the waitress will remove your bread plate (you know, the side plate on your left) while still eating our main course, but this is, maybe to give us space, but the overall food wasn't so good, really average for something which I will qualify as not cheap (3 main courses ""A la Carte"" and nothing fancy) for a total bill of almost S$200... Average rib eye ($78++) with way to much pepper, served with Bearnaise sauce which by the way, had to much vinegar which doesn't make it good, and a too sweet Peppercorn sauce. A Duck Confit (S$40++), mostly from a can or frozen... Well I will not say anything as I never saw a fresh and homemade Duck Confit in Singapore, and a Tagliolini with Crab (S$42++) and I am still looking for the Crab.... Overall, I will call this place expensive for an average food....",3-May,Average,No,,
db Bistro & Oyster Bar,February,Week 7,Thursday,11/2/2016,"""Spectacular tasting food - and great friendly service...""","My wife & I ended up having dinner here after looking around the Marina Bay Sands Mall - they were extremely courteous, made sure her vegetarian needs were satisfied and were friendly and prompt with their service. Everything we had - salad, entrees and desert were terrific - so singling out any would be unfair. Thanks for a memorable evening!",5-May,Excellent,No,,
Sky on 57,February,Week 7,Thursday,11/2/2016,"""High tea""","Just when on last week is my birthday ,we enjoy high tea set at Sky on 57 at Marina bay sand!Nice view ! Have small surprised they have provide small macaroons cake and writing birthday wishes!",4-May,Very Good,No,,
Bread Street Kitchen,February,Week 7,Friday,12/2/2016,"""Great food and service ""","Great food and very friendly service. We ordered Sirloin steak, fish and chips, baby chicken and everything was very nice. Will be back again for sure",4-May,Very Good,Yes,14/2/2016,2
Bread Street Kitchen,February,Week 7,Saturday,13/2/2016,"""Loved this place!""","I finally got to try the famous Beef Wellington and Im not disappointed. Everything about this place was good, the ambience, service, food and specially the drinks!",5-May,Excellent,Yes,14/2/2016,1
